ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
3088	1789	8709	0	4160	19515	712	3479	27106	712	1817	1498	2080	2473	1131	0	5
3093	1911	686	584	570	3478	0	294	1043	414	66	1777	584	2287	1420	0	5
3094	0	697	700	3479	27106	0	4160	19515	0	2473	1131	712	570	3478	0	3
3094	3479	27106	0	4160	19515	0	2473	1131	247	1817	1498	369	1622	7598	687	3
3098	1381	1629	2400	85	0	0	183	328	0	733	5931	0	2773	4402	0	5
3099	733	5931	0	903	735	0	2201	30672	1000	413	4402	2880	1192	2578	1000	5
3108	1730	15564	0	3153	6816	0	526	3918	1180	1190	1597	2140	1192	2578	1000	2
3108	1730	15564	0	3153	6816	0	526	3918	1180	1190	1597	2140	1463	2508	2164	2
3110	1190	1597	699	3153	6816	246	1730	15564	246	526	3918	347	1184	228	463	5
3110	526	3918	347	3153	6816	246	1730	15564	246	1184	228	463	1190	1597	412	4
3110	3153	6816	724	1730	15564	724	526	3918	1000	1190	1597	1368	1463	2508	1392	1
3110	1730	15564	724	3153	6816	724	526	3918	1000	1190	1597	1368	1463	2508	1392	2
3113	526	3918	972	1184	228	0	3153	6816	1512	1730	15564	1512	1190	1597	2608	2
3116	1239	12395	1828	1504	198	0	671	1492	1600	527	106	1828	526	3918	972	1
3116	527	106	1828	1504	198	0	671	1492	1600	1239	12395	1828	2477	10492	1828	4
3118	1190	1597	1368	1730	15564	724	526	3918	1000	3153	6816	724	671	1492	1600	4
3118	526	3918	1000	1730	15564	724	3153	6816	724	1190	1597	1368	1463	2508	1392	3
3126	2304	8249	0	324	6322	0	0	40	660	666	1355	660	526	3918	0	1
3129	442	457	0	143	65	0	1148	1063	0	3610	5189	1840	2304	8249	0	4
3129	1265	315	0	143	65	0	1148	1063	0	442	457	0	898	56296	1160	5
3135	442	457	0	309	33	0	4054	2456	588	5190	59651	588	1223	42422	1800	5
3135	4054	2456	588	309	33	0	770	289	0	5190	59651	588	379	225	1176	3
3137	2121	41669	2260	2109	1759	1192	1792	2677	2784	360	100	2784	4054	2456	588	1
3137	578	105	1680	2109	1759	1192	1792	2677	2784	360	100	2784	2932	2181	1852	1
